Question	rel_label
Of whom is Polonius suspicious  	452
what is a sub-category of Printmaking	453
What was La Salle offered	454
What was established on December 21 , 1973	455
what White was 	456
who  is a general of Freege	457
What Is Teeming With Talent	458
when  was Pearl Harbor established in 1956	218
what announced on February 3rd	20
of what did Tim Cooper die 	459
Where is Mar Vista	460
What  was formed in 1836	461
where did Ball start his professional career	462
what  is also a Japanese surname	178
by what are Visiting groups welcomed 	81
When was Oklahoma Territory formally organized	463
what retained control of the Isle of Wight	464
who  is out with a broken collarbone	465
what is an album by Wayne Shorter	466
what use several types of measurements	467
who continued his work in Europe	468
who remains under house arrest	469
How long did Kelly hold the position 	470
who is Sherlock	471
Where is Ebetsu	472
what is Avis	350
What do Possible sources include  	473
what is currently located in Tampa	474
For what is Detent the term 	2
with how much do Players start the game 	475
when did Russia invade Poland  	476
who was transported back to the Netherlands	477
on whom did Nickelodeon walk out 	478
what team were a professional ice hockey team in the National Hockey League	479
With what did Blinn merge 	480
when will A second series begin	481
How are Open cases listed in red	482
Who won the Republican primary on September 5 , 2006	483
What continued to be used until 1967	484
what is William Boyce appointed	485
What were played on 8 , 9 and 10 October	486
What year marked a turning point for Samoa	487
what is shown as the Roman Empire	488
who died in Rolla	18
Who  is a member of Phi Beta Kappa	139
who performed in Memphis	489
what did Second Skin follow on 	490
what have a standard of 11 digits	491
what is a town in Nevada County	60
where was Birmingham transferred to	492
in what did Belfast also take part	493
what operated in the Western Pacific	494
who worked full-time for nuclear disarmament	495
Who had very little respect for the Catholic faith	496
of what is Lincoln Elementary School part 	9
when was Kidron born  	166
into what is Bais City politically subdivided 	497
what is an album by Dave Van Ronk	466
What is a district of the North-West Frontier Province	498
who is Reinhardt	457
in what did Hitler have no interest 	499
what is Penne 	500
when did Essence begin publishing	501
where did The Dukes of Hazzard premiere	368
what completed acquisition of Pantone 	502
who was born on December 14 , 1918	166
of whom was Smith a fan 	503
when did Filming of the movi begin 	349
Where does Amaranth come from 	359
who is Ursula	139
What is Messier 90	139
who is killed by Evangel	504
who  was born in Berkshire	1
What are well developed in the United Sates	505
who lives in Driffield	51
What is ArbCom	506
What is McConnellsburg 	350
by whom is Charlie a song  	507
against what did  Nance editorialized 	508
who became an outspoken critic of the Mugabe regime	509
who  died at Nevers	510
where  was Rodd born	1
what was listed as 120,000 Yen	511
how many are executed in July	512
when did Angola hold a presidential election 	513
what is Mannford	60
Who attended the University of Chicago Laboratory Schools	411
where Rosier does not appear 	514
whom did Sehgal once ask 	515
who attended George Washington High School	516
what did Elihu Root become	517
who is Son of Poul	518
Where does The Sangam work	519
how much did Garrard thraw	4
What are mainly cultivated in India	520
What did Fitzmaurice hold	521
to whom  is BC home 	73
From what does YouTube take a page  	522
What is Direct Energy	523
What is also a nickname for the Hindu god Krishna	524
what did Oyster Creek submit 	525
who  was brought up in Monmouthshire	526
What  is the seventh release of the Dave Matthews Band 's Live Trax series	527
where is Kiln	32
by what is Kleine Scheidegg surrounded 	528
Who also appeared in a one-woman show	529
what is located on the A29 road	154
what is frequently seen on NBC	530
what has Crisis Core  received 	531
what is played on a hockey rink	486
with whom did Baldwin play four seasons 	127
Where was Rum invented  	532
with what did Schmeling serve 	533
who joins the Southern Conference	210
How  are Meals and refreshments available	534
What acquired the remaining shares in 1998	535
Where may An interview take place 	536
What is Bangor	140
What will consist of two seasons	537
Where is Repetition important 	538
What does Anandamaya mean	539
Who is Fabian	540
who later moved to Victoria Park	541
what was barter 	542
when did The Supreme Court give its decision 	543
who was born in Kearsley	1
What is the northernmost point on Earth	544
Where is Phoenix College	545
where is Gaelic football popular	546
Who travelled first to Lindon	547
what is Cocoa	548
when  was CCTV-4 added	549
Why is Mancuso currently incarcerated 	550
where does Drought occur 	551
who grew up in Saint Louis Park	194
What describes the end of a relationship	552
on what does Ernesto take toll 	553
in what has Josephine had an extensive career 	554
what did Zinta play 	555
where did Eriksson study electrical engineering	556
who was born in Charters Towers	1
Who was born in Cameron	1
in what has Today 's opinion no foundation	557
Who attempted to take Burgos	558
what  is a local station on the IRT BroadwaySeventh Avenue Line of the New York City Subway	559
Who is Recto  	173
What has three stores in Union Square	560
what is the highest mountain in Germany	561
where was Upton forced to retire to 	562
What is a type of ADFA.	563
What was admitted as a free state	564
Who was born in Warrenton	1
what was Hunter made	565
what might Apple TV  have 	566
who won against Van Wely	567
what does Government Takes 	568
what is the largest city in Canada	569
what is dependent upon student enrollment	570
Where did Joans die 	18
when was The Ghanaian parliamentary election held 	312
Where is Prayer divided  	571
what is Newcastle	91
what The CU currently has 	572
What started operations from 1 March 2007	573
When was HML-776  deactivated 	574
To whom does Mr. Burns talk  	575
what were games played on a video game console	576
What is 400	577
who was traded to the Cleveland Cavaliers	16
For what does T stand	578
to where did Gen emigrate	579
who also made extensive use of patrol boats	580
by what  are Additional methods provided  	581
what is 70 % considered	582
Who removed to Cambridge	583
what were much smaller in the Middle Ages	584
who has a run-in with a wood chipper	386
where do 600 pairs breed 	585
what is a step up from the G6	586
who was Laura 	587
what is The Court of Appeals of Maryland	588
where is Oxford	197
who  died on 23 November 1867	424
Where has Engen guest-starred 	589
what got off to a quick start	590
when was Water park  acquired 	591
what is listed in the National Plan of Integrated Airport Systems	482
what  can Treaties be 	592
Who set out for Salamandastron	593
what does Teignmouth have 	594
by whom has Wikipedia been taken over	595
what was Trujillo	596
where is Rind	60
who soon became involved in bookmaking	597
what does Inland Revenue collect	598
what departed for Sasebo	599
Where does Kira Nerys appear 	392
what is located in Columbus	68
for what was Australia second  	600
who has stood in 9 Test matches	601
who was a cousin of the Pandavas	602
what could be of various sizes	603
who died on 20 April	424
against what were raids made 	604
As what can Biology and Physics be taken 	605
who destroys the walls of Arkham Asylum	606
Where did Jenkins play college football 	219
How many of those yards went to Mario Manningham	85
what  is home to the Business School	73
What was discontinued in 1929	607
when was Route 423 established 	218
When did Construction of the hotel begin	608
who lives in Epsom	51
who was born in Mymensingh	1
what  was adopted in September 2007	609
Who was interred in Hollywood Cemetery	610
who went to 12-3	85
to where did Galicia fall 	611
where is Ashington located	68
who was born in Southern California	1
what is a mountain located in Summit County	612
What is Seldovia	134
when Johann Wolfgang von Goethe visited the castle  	613
what is An example of the latter 	614
who is a former municipality of Finland	615
who was showing signs of exhaustion	616
what is a version of Windows	617
who was born in Squinzano	1
When was A new school built	618
To what is Copyleft important 	619
who was President of the Bundesrat	620
for where did Alvin C. Cockrell  sailed  	621
where was Valenzuela born 	1
what  has about six bands	622
Who was born in La Malbaie	1
What  is an organization composed of professional hypnotherapists	623
Where is EPCglobal a joint venture	624
when did Webb leave NASA	625
what is Machrihanish	197
whom does  William Penn School District serve	626
What was received well by critics	627
where was Hakata	628
where  are issued Day tickets	629
what is scheduled for 2009	630
What has an average elevation of 387 meters	631
what has The SEC opened	632
who serves the western portion of Parsippany	633
on what did Mike Barnicle get a show 	160
who is Popper	634
What was Olimpia	635
who moved to Indonesia	33
what gets interested in rap videos	636
who was the personal physician to Governor Macquarie	637
What was begun in 1983	638
Where  was Anoa'i born	1
What is believed to be the main cause of death	639
what does The Bear follow	415
who is a Fellow of the British Academy	640
who was born in Dholpur	1
what do Vehicles have 	641
who wrote articles for The New York Times Magazine	642
what is Ferguson rare as	643
to what is general aviation not limited	644
Who  was first named in 1856	645
Where did Lucas eventually move 	646
what is located in Kepong	68
where does The Court meet	647
who was called back to Hampton Roads	648
Against what did The Centauri fight back 	649
who attended La Jolla High School	516
What included several groups of Quakers	650
who offers a full range of banking products	651
when was Vang Pao born	1
when did Congressional negotiators  announce	20
Who takes issue with Rove	652
For whom has 2008 been a busy year	653
who had sex with the Devil	654
where did Japanese formally surrender	655
WHO sold the newspapers to Richard Hill	656
where did White move to 	33
Where is Waveland	60
who is Sires	431
where was McLachlan born	1
What does Ben Jonson become 	657
What Mansar has  	658
where was Walter Smith  born 	1
where becomes the capital of Upper Canada	407
where is Shakespeare 	659
where did Rogers die	18
Who takes command of ACC.	660
why  was an NBA game postponed 	661
how long had Williams been dead for 	662
For what can Organisations charge 	663
where is The National Liberal  Party 	664
Of what were Citizens inhabitants 	665
What is immediately west of Glenwood	666
What do not supply money	667
whom did Beaumont then visit	668
what optimized for speed	669
what can capture a sheep.	670
to what was Meyerhold strongly opposed	671
What was officially defined in the Balfour Declaration	672
what was Driscoll later named 	673
how can Shift times  vary	674
what were mules	675
untill when did The Freeman school  continue to be used 	484
what is Morrisonville	140
who plays the violin in The Prayer	676
who hosted the National Eisteddfod in 1950	677
where did Burleson sail	678
What is clearly an engineering discipline	679
who are Politicians	680
Who was born on August 27 , 1931	166
for what team Roscoehad also played 	681
what Becomes Famous Studios	657
in where is The National Democratic Party the main opposition party	682
What has an average elevation of 201 meters	631
where did Epping Forest  sail to	678
how amny times has St Mary 's Church been rebuilt 	683
what have Six ships of the Royal Navy  been named 	684
who  speaks to Edward	685
What animals will also engage in play fighting	686
In what is Capsaicin the primary ingredient	687
who are Romulus and Remus	688
What is a representation of a person	689
how long did Harald reign	690
where is St . John	60
for what was Pinsent deemed unsuitable 	691
What does Selig remain 	692
who currently resides in Hanover	423
By what was WebObjects created  	693
where is Copeland	134
what is a rock band from Los Angeles	694
Who always loved singing	695
who  signed for English team	696
what were won by Valencia	697
where was Magnolia sent to 	698
who may be released on bail	699
When were Matches played  	486
where was Liggins born	1
what was created in August 1898	398
Of what is Aung San part of  	9
in what was The Gilded Age rooted 	700
who was literary editor of the Observer	701
where was Mission Impossible 3  filmed 	702
Who wrote the song in Manhattan	703
where did Carroll die	18
what did Paula Rego paint 	704
for what are hot air balloons used 	705
who was Blakey	620
what is Very Good News	706
what is a museum of architecture	707
who was removed to Seattle	708
who is the eighth President of the United States	709
when did The State Legislature first meet there 	235
where did Fanning perform	489
What is the Latin word for fishes	710
who hosted through September 27 , 1996	711
who is the Visitor of the University	712
Where does SR-79 begin 	713
who was raised in Inglewood	365
for whom was Tillis opening up	714
who sat for weeks	715
what is York County	716
of what did The House of Commons consist entirely 	717
with whom Daniels meets  	718
what Burhanuddin Rabbani  became  	719
what comprises approximately 8 square miles	126
who was the half-sister of Adolphe	720
who was born in Lockhart	1
who was Van Wyck	721
What begins in two forks	608
Where are Motorized boats allowed  	722
What is Waveland	60
arfter whom was Sasha looking 	723
what  were of wood	159
What  varied on different missions	724
Who was in Maui	659
Where is Exchange	140
what were held on February 1 and 2	312
who was born in Iowa	1
what is located in the Gulf of Thailand	68
when did The Model 8 first fly	725
where did Pessoa return 	92
What are offered in history	726
for what has Melissa modeled 	727
when did Buck die	18
what is a former municipality in Aust-Agder county	728
What  is purple in color	729
who has sat on various organizations	730
what  is the capital city of Belasco	731
for whom did Maher announce his support	732
when did Zambia join the United Nations	733
for what does Councillor call 	734
of what is A coil made up 	735
Who was born in Corbridge	1
when did Robert Fuller win the title	736
to whom is Mercy married 	737
Who has some degree of superhuman strength	738
For what  was Bardeen looking	739
what submitted an application to the United States Nuclear Regulatory Commission	525
who comes to Greece	111
for what do Music videos  exist	740
who attended the University of Oklahoma	411
to whom  was Scouting opened 	741
what include photography by Michael Ward	742
what ceased publication in 1990	743
for whom was Barksdale 	744
What was commissioned on 16 April 1983	745
What can also be associated with involuntary celibacy	746
where does Brava play the violin 	676
Who spent nine years in the Israeli Air Force	747
what does Jordan have  	414
from what does Byzantine remain	748
what is The Final Call	749
who emigrated to England	579
when did Dorion become a village 	750
What were reintroduced in 1935	751
For what are Aquatic ecosystems also used	752
Where is Long Beach	666
what is the venue for the Boat Race	753
who catches sight of Shirl	754
what had no use for Minto	755
what is Blanding	134
What is published on a Thursday evening	756
what means city of temples	757
for what are Wooden shingles used 	758
where is Valparaiso	197
what  should be fed on a regular basis	759
with whom does Nick make a connection 	760
What does Bumblebee use 	761
when did Virginia ratify the Constitution 	762
About what was The Crew to be 	763
who left NASA in October 1968	625
What has also played a part	764
who has appeared on television and film	765
Who becomes Queen of Lireo	766
What was officially announced on September 29 , 2004	767
which country suffered severely in World War I.	768
where was Captain King  born	1
What town is in southern Saskatchewan	60
what flows from consensus	769
what provides for an executive	770
who is Madonna	771
who  is a publisher of mobile games	772
Of where was Acquaviva a resident	773
What is Exchange	140
when is A decision expected	774
What does not exist in The Wanderers	775
who has also appeared on Rude Awakening	190
what hits parts of Europe	776
who passed away in 1991	777
who is also a stage actor	178
when was USF Sarasota-Manatee established	218
where does Spain arrive 	778
What has offices in Arizona	779
what is also widely known as a political activist	780
What co-produced by Adams	781
who was born in Bayonne	1
with whom has Leon developed a special relationship 	782
how many individuals were killed in 1881 and 1882 alone	783
what has Wikipedia created 	784
When  was NP-completeness documented l	785
What was always considered to be a by-product	786
who also wrote commentaries on classical authors	787
what did Canandaigua officially become  	788
where is Greenville	134
to where did Rosen drive 	789
to whom is Atkinson married  	737
What percentage did die on board	424
What did Yap already show	790
By whom are Routes listed  	791
for whom was racing just a hobby 	792
What is 5 	9
who was elected Vice President of the United States	793
who was killed on December 27 , 1875	794
with whom has Antonio deals  	795
What vary greatly in price	796
what consists of six tracks	13
what has Rihanna received	797
who died in automobile accidents	18
When have Nine volumes been released  	798
where is also home to Naval Station Ingleside	253
who is also a member of the Knights of Malta	186
who was William Turner 	799
who was Bond	800
when was Hals born 	1
What  are offered for virgins	801
