who was elected to the California State Assembly	O O O O I I I I
where did Mariano propose	O O I O
who arrives at the Bronze	O O O I I
what rights did Sky Sports  acquire	O O O I I O O
What opens the door to new business models	O O O O O I I I
where was Stark born 	O O I O O
where did Wong make several appearances	O O I O O O
where has White nationalism a long tradition	O O I I O O O
What is Jaworzno	O O I
who is a member of the United States Foreign Service	O O O O O I I I I I
What may NASH be 	O O I O O
what was handled from 1 February 1860	O O O O I I I
where is Danvers  	O O I O O
In what is Oxaloacetate unstable 	O O O I O O
who are not Roman Catholics	O O O O I
what is mostly used in Flamenco guitar	O O O O O I I
what country has a coastline of 37,653 km	O O O O O O I I
where were Four bodies found	O O I I O
what does CRN focuse on	O O I O O
what is Kashima	O O I
What does not refer to heavy exercise	O O O O O I I
what was printed in 1455	O O O O I
what is Modern Hebrew	O O I I
What is Logo	O O I
What took place across the UK.	O O O O I I
to whom was Healy engaged 	O O O I O O
for how long is Certification valid	O O O O I O
Who is also a member of the Neuroscience Peer Review Consortium	O O O O O O I I I I I
of what was Rothmans an active promoter 	O O O I O O O O
what were not undertaken for newer versions	O O O O O I I
how is English established 	O O I O O
where has Hoover also appeared 	O O I O O O
What is not only found in humans	O O O O O O I
what is a branch of philosophy	O O O O O I
where was a lock built at 	O O I I O O O
Where did Altenburg grow up	O O I O O
How are Links activated  	O O I O O O
What is larger than N	O O O O I
Where is Kk 	O O I O
What does Burlington Township cover	O O I I O
What church is dedicated to Saint Blaise	O O O O O I I
where is The Davis Cup final held 	O O I I I I O O
Of what did Portugal lose possession  	O O O I O O O O
What is Dawson	O O I
what does Cody enlist	O O I O
What suffered an outbreak of bubonic plague	O O O O O I I
where was John Mackey  born 	O O I I O O O
who came first to Virginia	O O O O I
What do Major employers include	O O I I O
what are ABC	O O I
What show reached the top ten in Taiwan	O O O O O O O I
where was Zoological Record started	O O I I O
where has Daniel also been recognized  	O O I O O O O O
what does Wofford join	O O I O
What is McKellar 	O O I O
who grew up in Phoenixville	O O O O I
By what had Roosevelt always been fascinated 	O O O I O O O O
what can Healers also induce 	O O I O O O
what did The Union side do	O O I I I O
to whom did control of the company  go	O O O I I I I O O
What may Sage help  	O O I O O O
Who died after suffering a stroke	O O O O I I
who dreams of bright future	O O O I I
What was established in 1912	O O O O I
where is Chillicothe	O O I
Who played college football at Central Michigan University	O O O O O I I I
when was Counter-Strike also released 	O O I O O O
who played for the New York Jets	O O O I I I I
what did Philbin host	O O I O
For what was A beautiful Saturday afternoon the setting 	O O O I I I I O O O
where Joe Louis lives on 	O I I O O O
for what is Rawa the local term 	O O O I O O O O
what has Altova recently added support for 	O O I O O O O O
Who  initially studied at Hampton High School	O O O O O I I I
What commune is in Arge County	O O O O I I
what was released on 30 June , 2008	O O O O I I I I
what does Mobile also have a large number of private schools	O O I O O O O O O O O
Where did Lacson studied law	O O I O O
Who was found guilty on May 21 , 2007	O O O O O I I I I
where is L'Artisan based	O O I O
Who died in Auburn	O O O I
With what are Blennies often confused 	O O O I O O O
Where is politically subdivided into 32 barangays	O O O O O I I
who first met there in 1790	O O O O O I
Where does Gardner currently live	O O I O O
where S/he rests 	O I O O
What does Joam boast  	O O I O O O
what may firm do	O O I O
who was released on parole	O O O O I
what  includes departments of Pharmacy	O O O O I O
who has composed a number of longer works	O O O O O O I I
since when have Reprints been printed 	O O O I O O O
What is San Pablo	O O I I
where do Raikkonen lead	O O I O
What are renowned for reliability	O O O O I
where does Darling currently live	O O I O O
what does US-400  join	O O I O O
What would be delivered in September 2006	O O O O O I I
what has Vivendi Games Mobile launched	O O I I I O
what produces a diverse range of products	O O O O O O I
what  includes the Cooperative Extension Service	O O O I I I I
what is WP:AGF not	O O I O
What is Brule	O O I
Where are Italian-Americans concentrated	O O I O
who is Tony Blair	O O I I
to whom is Porter Square also home 	O O O I I O O O
what started appearing in season 1	O O O O I I
what is a synonym for snake	O O O O O I
who is PCI	O O I
Where did A large industry develop 	O O I I I O O
what was Dr. Troy appointed 	O O I I O O
what  is the name of a country	O O O O O O I I
against whom did Phil take against 	O O O I O O O
Where is Estancia	O O I
where was Constable born	O O I O
who had an idea for a children 's album	O O O O O I I I I
who works for the Pullman Company	O O O I I I
to when does Brambles trace its history	O O O I O O O
what was published in 1981	O O O O I
who  studied philosophy at the University of Leeds	O O O O O I I I I
what has always specialised in Australian art	O O O O O I I
what were set up throughout Japan	O O O O O I
who remained important in Finland	O O O O I
when did Woodward die	O O I O
on what did KID focuse  	O O O I O O O
who was the leader of Russia	O O O O O I
Who died in a car accident	O O O I I I
who moved to Kentucky	O O O I
Where is Ohio Christian University	O O I I I
what is pisto	O O I
what is Lakeville	O O I
What will 2034 be	O O I O
By whom was Game 7  dominated	O O O I I O O
who  is sponsored by Adidas	O O O O O I
Who gets married to Sudha	O O O O I
what does Yuki Cross do 	O O I I O O
What came to Dallas	O O O I
who agree to terms	O O O I
in what can Pica also be found	O O O I O O O
what did owners support	O O I O
what does  The Universal Life Church offer	O O O I I I I O
who went to Eglin Air Force Base	O O O I I I I
When was Georgetown incorporated  	O O I O O O
When was Makemake discovered 	O O I O O
What is The Midwest	O O I I
where was Reeder taken back to 	O O I O O O O
which departmrnt takes care of roadways	O O O O I O
What year was a very busy year for Vega	O O O O O O O O I
How did The Wildcats  win  	O O I I O O O O
on what are Modular buildings usually constructed	O O O I I O O
For what was Ptain tried  	O O O I O O O
what can accommodate up to 38 people	O O O O O I I
What is equal to SINAD	O O O O I
What is ProQuest	O O I
who started classes in July	O O O O I
who was dating Dave	O O O I
how do Roman candles  come 	O O I I O O O
How many did have cancers	O O O O I
when did Miloevi resign 	O O I O O
When was Cannons demolished  	O O I O O O
where were A few shells later found 	O O I I I O O O
What will begin on 2 April 2009	O O O O I I I
who turns to Weaver	O O O I
In what weather condition has Alexandra gone off	O O O O O I O O
who was a mixture of Mark	O O O O O I
What is part of the Binghamton Metropolitan Statistical Area	O O O O I I I I I
what is Laurel	O O I
what is located in Wesson	O O O O I
what is Spirit	O O I
Of where did Killer Frost break out 	O O O I I O O O
what could do routing	O O O I
who had Queen Catherine been born 	O O I I O O O
among whom are Tear stains common 	O O O I I O O
Who had always been fascinated by naval history	O O O O O O I I
What  can be an indicator of chronic malnutrition	O O O O O O O I I
Where  was Holbrook born 	O O O I O O
who  lived in Kyoto	O O O O I
what is Windows	O O I
what is cut from 100 to 80 hours	O O O O I I I I
what was founded in 1754	O O O O I
Where do 82 % of the population is living 	O O I I I I I O O O
what do Students have 	O O I O O
what moved to Zamboanga	O O O I
What does Pacifica also produce	O O I O O
when are Drawings held 	O O I O O
where did Peterson travel to 	O O I O O O
By what can Tetanus be prevented  	O O O I O O O O
what is Stanley	O O I
What was also released in 1983	O O O O O I
Where was The Removal Act strongly supported 	O O I I I O O O
where was Wilkes born	O O I O
what is portrayed in a sympathetic light	O O O O I I I
with whom is Erskine good friends 	O O O I O O O
To where did Medina return then	O O O I O O
when was John Lilly born 	O O I I O O
who is Mullen	O O I
where did Edward teach 	O O I O O
What  is also an Internet service provider	O O O O I I I I
who are ALL for civil society	O O O O I I
to whom The Phillies sent a player to be named later  	O O I I O O O O O O O O O
Where did Ogunleye play college football 	O O I O O O O
what is prevalent in autism	O O O O I
where was colour television  introduced	O O I I O O
What is home to the National Arts Centre Orchestra	O O O O O I I I O
who was a member of The Flock	O O O O O I I
when did Illinois depart   	O O I O O O O
who testified to the Commission	O O O I I
Where is New Territory 	O O I I O
To what did Modibo Keta devote his entire life 	O O O I I O O O O O
Who leaves the Southern Conference	O O I I I
what does Square Enix Swallow	O O I I O
where did The Jones family  settle down 	O O I I I O O O O
at what event don't Micronations compete	O O O O I O
for how long has Jol been out 	O O O O I O O O
who began his career at Crystal Palace	O O O O O I I
To whom does Lauren Graham say	O O O I I O
with whom is Katelin roommates 	O O O I O O
who/what appeared close to victory	O O O O I
Where was Mao unrecognizable 	O O I O O
to what does a mobile phone number  generally correspond	O O O I I I I O O O
where is Oakley	O O I
What Tempo also made  	O I O O O O
From what are Gay people not banned 	O O O I I O O O
What is located in San Francisco	O O O O I I
what becomes independent from the Portuguese Republic	O O O O O O I
What is M-U-M	O O I
of what did Warren assume command 	O O O I O O O
how care may be given 	O I O O O O
where is Amberley located 	O O I O O
to whom was Wilson introduced 	O O O I O O
What may be given on an outpatient basis	O O O O O I I I
Where did Borden die 	O O I O O
What  was officially incorporated on February 26 , 1913	O O O O O O I I I I
What was founded in 1908	O O O O I
in what is Folate also synthesized	O O O I O O
what is also a major industry	O O O I I I
what is Leesburg	O O I
what  began on May 12 , 2008	O O O O I I I I
Who was introduced to industry	O O O O I
what is a borough in Centre County	O O O O O I O
who grew up in Wilkes-Barre	O O O O I
what is Enfield	O O I
of what is McEwen a member  	O O O I O O O O
What is is based in Cardiff	O O O O O I
Of What is UIC a major part 	O O O I O O O O
What is is not another word for South Asia	O O O O O O O I I
What has a long-standing history with industry	O O O O O O I
who grew up in Minneapolis	O O O O I
Where was Jet Set Willy stored 	O O I I I O O
what provides connections to Zwickau	O O O O I
where were professionals allowed to compete	O O I O O O
what is also popular in chocolates	O O O O O I
what was Amol	O O I
who is from Christchurch	O O O I
what was held in Helsinki	O O O O I
who  attend the University of Connecticut	O O O O O O I
To what was Holland close	O O O I O
when was A third division  re-introduced 	O O I I I O O O
Who then opened fire on the Leopard	O O O O O I I
who is  taken to an asylum	O O O O O I I
Where was Buell raised	O O I O
What was scored by Ilayaraja	O O O O I
What opened around January 1878	O O O I I
What  premiered on CBS	O O O O I
to whom may Saranyu be related 	O O O I O O O
what is Rusholme	O O I
who was the subject of a play	O O O O O I I
who traveled back to 1968	O O O O I
what is Federal Hocking High School	O O I I I I
When are Dragons released 	O O I O O
what happened to rose 	O O O O O
What does Jelly Belly make  	O O I I O O O
where  was Royce born	O O O I O
What is divided into 3 communities	O O O O I I
what  may Peace officers  get	O O O I I O O
What is rich in natural water bodies	O O O O I I I
How mamy were only published in 1968	O O O O O O I
how much is Speed limit inside	O O O I I O
Where is Oak Grove High School located 	O O I I I I O O
who was a member of a musical family	O O I O O I I I
how are Transactions cleared 	O O I O O
to whom does TokaiTokai often talk	O O O O O O
what is a play by James Joyce	O O O O O I I
for what did Martin Allen play	O O O I I O
what was released on September 16 , 1994	O O O O I I I I
What have been simplified to dirt roads	O O O O O I I
what holds two types of hearings	O O O O O I
WHAT was a relative latecomer to public broadcasting	O O O O O O I I
What is Harlem	O O I
with whom has Walter a run-in	O O O I O O
what does Churchill still lead 	O O I O O O
who spent a month in Miami	O O O O O I
what  started at $ 100	O O O O I I
who descend on Palanga	O O O I
when did Boylan retire 	O O I O O
Where did  Jim appear	O O O I O
where did Yvette Cooper rise rapidly	O O I I O O
where was Uehara born	O O I O
what was Wikipedia designed to be	O O I O O O
when did Almagro seize the city	O O I O O O
where did Church go to	O O I O O
who walk to Mount Moriah	O O O I I
when did Donahey retire 	O O I O O
when was 40th Army disbanded 	O O I I O O
when was The National Park created 	O O I I I O O
what was the inspiration for Starbucks	O O O O O I
Where is AUR headquartered 	O O I O O
who  is different from Trumps	O O O O O I
Who joined the faculty of the University of Arizona	O O I O I I I I I
since when has Grand Buffet been together  	O O O I I O O O O
Where is Minden City 	O O I I O
What is Bellefeuille	O O I
Who enlisted in the United States Coast Guard	O O O I I I I I
What was born on April 22 , 1834	O O O O I I I I
Who has not forgotten Palm Island	O O O O I I
What is Herne Bay	O O I I
What did Aix become 	O O I O O
Who retired in 1954	O O O I
What will be a common year starting on Sunday of the Gregorian calendar	O O O O O O O O I I I I I
What company  eventually bought out Ice Online	O O O O O O I I
who  is a physician in Baltimore	O O O O O O I
who  received Academy Awards for Best Supporting Actress	O O O O O O I I I
Where did Levi attend	O O I O
where was Wensley posted to 	O O I O O O
what does The Performing Arts Center  offer	O O I I I I O O
what  has a number of educational institutions	O O O O O O I I
what  follows the life of Paul Bear Bryant	O O O O O O O I O
When did Park turn professional 	O O I O O O
Where is Bangor	O O I
who  held her in great esteem	O O O O O I I
Where did Fleming remain 	O O I O O
what did Moisil do	O O I O
how did The King  hld her	O O I I O O O
what is a civil parish in the East Riding of Yorkshire	O O O O O O I I I I I
by whom did Floyd have three children 	O O O I O O O O
what  is run by a Governor	O O O O O I I
Where does Ford currently reside	O O I O O
when did Dixon die	O O I O
what is The Georgia Department of Natural Resources	O O I I I I I I
who starts shooting at Jade	O O O O I
Who was born around 1900	O O O O I
Where was Minuet created 	O O I O O
what is McFarland	O O I
What was further detailed in Unearthed Arcana	O O O O O I I
Whom did Burdett marry firstly 	O O I O O O
Who  is a graduate of Siena College	O O O O O O I I
what  were suspended in 1999	O O O O O I
what was founded on March 26 , 1946	O O O O I I I I
what is the county seat of Napa County	O O O O O O I O
What was registered on the National Register of Historic Places	O O O O I I I I I I
what is Praslin	O O I
by whom was Diner Dash originally created  	O O O I I O O O O
What provides news in Persian	O O O O I
By what is Hiawatha operated	O O O I O
When did Athens High School open 	O O I I I O O
what does Desiderius Erasmus publish	O O I I O
who added in 1712	O O O I
where was a Communist government installed 	O O I I I O O
who was born at Nancy	O O O O I
ho lived mainly in France	O O O O I
what was once divided into Farthings	O O O O O I
who  is currently the Secretary of the Florida Department of Transportation	O O O O I O I I I I I I
What  is the seat of the University of Cape Coast	O O O O O O O O O I I
who is Frideswide	O O I
Where are Courses offered	O O I O
what does Wikipedia have 	O O I O O
Where is Otterville	O O I
for what has Syriana also been criticized  	O O O I O O O O O
Of whom is Polonius suspicious  	O O O I O O O
what is a sub-category of Printmaking	O O O O O I
What was La Salle offered	O O I I O
What was established on December 21 , 1973	O O O O I I I I
what White was 	O I O O
who  is a general of Freege	O O O O O O I
What Is Teeming With Talent	O O O O I
when  was Pearl Harbor established in 1956	O O O I I O O O
what announced on February 3rd	O O O I I
of what did Tim Cooper die 	O O O I I O O
Where is Mar Vista	O O I I
What  was formed in 1836	O O O O O I
where did Ball start his professional career	O O I O O O O
what  is also a Japanese surname	O O O O I I I
by what are Visiting groups welcomed 	O O O I I O O
When was Oklahoma Territory formally organized	O O I I O O
what retained control of the Isle of Wight	O O O I I I I I
who  is out with a broken collarbone	O O O O O I I I
what is an album by Wayne Shorter	O O O O O I I
what use several types of measurements	O O O O O I
who continued his work in Europe	O O O O O I
who remains under house arrest	O O O I I
How long did Kelly hold the position 	O O O I O O O O
who is Sherlock	O O I
Where is Ebetsu	O O I
what is Avis	O O I
What do Possible sources include  	O O I I O O O
what is currently located in Tampa	O O O O O I
For what is Detent the term 	O O O I O O O
with how much do Players start the game 	O O O O I O O O O
when did Russia invade Poland  	O O I O O O O
who was transported back to the Netherlands	O O O O O I I
on whom did Nickelodeon walk out 	O O O I O O O
what team were a professional ice hockey team in the National Hockey League	O O O O O O O O O I I I I
With what did Blinn merge 	O O O I O O
when will A second series begin	O O I I I O
How are Open cases listed in red	O O I I O O O
Who won the Republican primary on September 5 , 2006	O O O O O O I I I I
What continued to be used until 1967	O O O O O O I
what is William Boyce appointed	O O I I O
What were played on 8 , 9 and 10 October	O O O O I I I I I I
What year marked a turning point for Samoa	O O O O O O O I
what is shown as the Roman Empire	O O O O I I I
who died in Rolla	O O O I
Who  is a member of Phi Beta Kappa	O O O O O O I I I
who performed in Memphis	O O O I
what did Second Skin follow on 	O O I I O O O
what have a standard of 11 digits	O O O O O I I
what is a town in Nevada County	O O O O O I I
where was Birmingham transferred to	O O I O O
in what did Belfast also take part	O O O I O O O
what operated in the Western Pacific	O O O I I I
who worked full-time for nuclear disarmament	O O O O I I
Who had very little respect for the Catholic faith	O O O O O O I I I
of what is Lincoln Elementary School part 	O O O I I I O O
when was Kidron born  	O O I O O O
into what is Bais City politically subdivided 	O O O I I O O O
what is an album by Dave Van Ronk	O O O O O I I I
What is a district of the North-West Frontier Province	O O O O O I I I I
who is Reinhardt	O O I
in what did Hitler have no interest 	O O O I O O O O
what is Penne 	O O I O
when did Essence begin publishing	O O I O O
where did The Dukes of Hazzard premiere	O O I I I I O
what completed acquisition of Pantone 	O O O O I O
who was born on December 14 , 1918	O O O O I I I I
of whom was Smith a fan 	O O O I O O O
when did Filming of the movi begin 	O O I I I O O O
Where does Amaranth come from 	O O I O O O
who is Ursula	O O I
What is Messier 90	O O I I
who is killed by Evangel	O O O O I
who  was born in Berkshire	O O O O O I
What are well developed in the United Sates	O O O O O I I I
who lives in Driffield	O O O I
What is ArbCom	O O I
What is McConnellsburg 	O O I O
by whom is Charlie a song  	O O O I O O O O
against what did  Nance editorialized 	O O O O I O O
who became an outspoken critic of the Mugabe regime	O O O O O O I I I
who  died at Nevers	O O O O I
where  was Rodd born	O O O I O
what was listed as 120,000 Yen	O O O O I I
how many are executed in July	O O O O O I
when did Angola hold a presidential election 	O O I O O O O O
what is Mannford	O O I
Who attended the University of Chicago Laboratory Schools	O O O O O I I I
where Rosier does not appear 	O I O O O O
whom did Sehgal once ask 	O O I O O O
who attended George Washington High School	O O I I I I
what did Elihu Root become	O O I I O
who is Son of Poul	O O O O I
Where does The Sangam work	O O I I O
how much did Garrard thraw	O O O I O
What are mainly cultivated in India	O O O O O I
What did Fitzmaurice hold	O O I O
to whom  is BC home 	O O O O I O O
From what does YouTube take a page  	O O O I O O O O O
What is Direct Energy	O O I I
What is also a nickname for the Hindu god Krishna	O O O O O O I I I I
what did Oyster Creek submit 	O O I I O O
who  was brought up in Monmouthshire	O O O O O O I
What  is the seventh release of the Dave Matthews Band 's Live Trax series	O O O I O O O I I I I I I I I
where is Kiln	O O I
by what is Kleine Scheidegg surrounded 	O O O I I O O
Who also appeared in a one-woman show	O O O O I I I
what is located on the A29 road	O O O O I I I
what is frequently seen on NBC	O O O O O I
what has Crisis Core  received 	O O I I O O O
what is played on a hockey rink	O O O O O I O
with whom did Baldwin play four seasons 	O O O I O O O O
Where was Rum invented  	O O I O O O
with what did Schmeling serve 	O O O I O O
who joins the Southern Conference	O O I I I
How  are Meals and refreshments available	O O O I I I O
What acquired the remaining shares in 1998	O O O O O O I
Where may An interview take place 	O O I I O O O
What is Bangor	O O I
What will consist of two seasons	O O O O I I
Where is Repetition important 	O O I O O
What does Anandamaya mean	O O I O
Who is Fabian	O O I
who later moved to Victoria Park	O O O O I I
what was barter 	O O I O
when did The Supreme Court give its decision 	O O I I I O O O O
who was born in Kearsley	O O O O I
What is the northernmost point on Earth	O O O O O O I
Where is Phoenix College	O O I I
where is Gaelic football popular	O O I I O
Who travelled first to Lindon	O O O O I
what is Cocoa	O O I
when  was CCTV-4 added	O O O I O
Why is Mancuso currently incarcerated 	O O I O O O
where does Drought occur 	O O I O O
who grew up in Saint Louis Park	O O O O I I I
What describes the end of a relationship	O O O O O I I
on what does Ernesto take toll 	O O O I O O O
in what has Josephine had an extensive career 	O O O I O O O O O
what did Zinta play 	O O I O O
where did Eriksson study electrical engineering	O O I O O O
who was born in Charters Towers	O O O O I I
Who was born in Cameron	O O O O I
in what has Today 's opinion no foundation	O O O I I I O O
Who attempted to take Burgos	O O O O I
what  is a local station on the IRT BroadwaySeventh Avenue Line of the New York City Subway	O O O O O O O I I I I I I I I I I I
Who is Recto  	O O I O O
What has three stores in Union Square	O O O O O I I
what is the highest mountain in Germany	O O O O O O I
where was Upton forced to retire to 	O O I O O O O O
What is a type of ADFA.	O O O O O I
What was admitted as a free state	O O O O I I I
Who was born in Warrenton	O O O O I
what was Hunter made	O O I O
what might Apple TV  have 	O O I I O O O
who won against Van Wely	O O O I I
what does Government Takes 	O O I O O
what is the largest city in Canada	O O O O O O I
what is dependent upon student enrollment	O O O O I I
Where did Joans die 	O O I O O
when was The Ghanaian parliamentary election held 	O O I I I I O O
Where is Prayer divided  	O O I O O O
what is Newcastle	O O I
what The CU currently has 	O I I O O O
What started operations from 1 March 2007	O O O O I I I
When was HML-776  deactivated 	O O I O O O
To whom does Mr. Burns talk  	O O O I I O O O
what were games played on a video game console	O O I O O O O O O
What is 400	O O I
who was traded to the Cleveland Cavaliers	O O O O I I I
For what does T stand	O O O I O
to where did Gen emigrate	O O O I O
who also made extensive use of patrol boats	O O O O O O I I
by what  are Additional methods provided  	O O O O I I O O O
what is 70 % considered	O O I I O
Who removed to Cambridge	O O O I
what were much smaller in the Middle Ages	O O O O O I I I
who has a run-in with a wood chipper	O O I O O I I I
where do 600 pairs breed 	O O I I O O
what is a step up from the G6	O O O O O O I I
who was Laura 	O O I O
what is The Court of Appeals of Maryland	O O I I I I I I
where is Oxford	O O I
who  died on 23 November 1867	O O O O I I I
Where has Engen guest-starred 	O O I O O
what got off to a quick start	O O O O I I I
when was Water park  acquired 	O O I I O O O
what is listed in the National Plan of Integrated Airport Systems	O O O O I I I I I I I
what  can Treaties be 	O O O I O O
Who set out for Salamandastron	O O O O I
what does Teignmouth have 	O O I O O
by whom has Wikipedia been taken over	O O O I O O O
what was Trujillo	O O I
where is Rind	O O I
who soon became involved in bookmaking	O O O O O I
what does Inland Revenue collect	O O I I O
what departed for Sasebo	O O O I
Where does Kira Nerys appear 	O O I I O O
what is located in Columbus	O O O O I
for what was Australia second  	O O O I O O O
who has stood in 9 Test matches	O O O O I I I
who was a cousin of the Pandavas	O O O O O I I
what could be of various sizes	O O O O I I
who died on 20 April	O O O I I
against what were raids made 	O O O I O O
